allDay,dayOfWeek,startHour,endHour
false,7,1730,2230
false,6,1200,2230
false,5,1200,2230
false,4,1200,2230
false,3,1200,2230
false,2,1200,2230
false,1,1200,2130
false,7,1130,300
false,6,1130,300
false,5,1130,2300
false,4,1130,2300
false,3,1130,2300
false,2,1130,2300
false,1,1130,2300
false,7,900,1730
false,6,900,1800
false,5,900,2100
false,4,900,1800
false,3,900,1800
false,2,900,1800
false,1,1100,1700
false,7,800,1430
false,6,700,1530
false,5,700,1530
false,4,700,1530
false,3,700,1530
false,2,700,1530
false,1,800,1430
false,7,1200,2200
false,6,1200,2200
false,5,1700,2200
false,4,1700,2200
false,3,1700,2200
false,7,730,2200
false,6,700,2200
false,5,700,2100
false,4,700,2100
false,3,700,2100
false,2,700,2100
false,1,730,2100
false,7,1200,200
false,6,1200,200
false,5,1200,200
false,4,1200,0
false,3,1200,0
false,2,1200,0
false,1,1500,0
false,7,1700,300
false,6,1700,300
false,5,1700,300
false,4,1700,300
false,3,1700,300
false,2,1700,300
false,1,1700,300
false,7,1700,100
false,6,1700,0
false,5,1700,100
false,4,1700,100
false,3,1700,100
false,2,1700,2300
false,1,1700,2300
false,1,1230,1500
false,7,1700,2300
false,7,1200,1430
false,6,1700,2300
false,6,1200,1430
false,5,1700,2300
false,5,1200,1430
false,4,1700,2200
false,4,1200,1430
false,3,1700,2200
false,3,1200,1430
false,2,1700,2200
false,2,1200,1430
false,1,1700,2200
false,1,1200,1430
false,7,900,1900
false,6,1000,1900
false,5,1000,1900
false,4,1000,1800
false,3,1000,1800
false,2,1000,1800
false,1,1000,1800
false,7,900,2300
false,6,730,2300
false,5,730,2300
false,4,730,2300
false,3,730,2300
false,2,730,2300
false,1,900,2300
false,7,1000,1900
false,6,1000,2100
false,5,1000,2100
false,4,1000,1900
false,3,1000,1900
false,2,1000,1900
false,1,1000,1900
false,7,1200,2330
false,6,1730,2330
false,5,1730,2230
false,4,1730,2230
false,3,1730,2230
false,2,1730,2230
false,7,1000,1630
false,6,1100,1600
false,5,1100,1600
false,3,1100,1600
false,1,1000,1500
false,7,900,1700
false,6,900,2100
false,5,900,2100
false,4,900,1730
false,3,900,1730
false,2,900,1730
false,1,1000,1700
false,6,700,1500
false,5,700,1500
false,4,700,1500
false,3,700,1500
false,2,700,1500
false,7,1830,2230
false,7,1200,1430
false,6,1830,2230
false,6,1200,1430
false,5,1830,2230
false,5,1200,1430
false,4,1830,2230
false,4,1200,1430
false,3,1830,2230
false,3,1200,1430
false,2,1830,2230
false,2,1200,1430
false,1,1830,2230
false,1,1200,1430
false,7,1000,2200
false,6,1000,2200
false,5,1000,2200
false,4,1000,2200
false,3,1000,2200
false,2,1000,2200
false,1,1000,2200
false,7,900,1800
false,6,730,1700
false,5,730,1700
false,4,730,1700
false,3,730,1700
false,2,730,1700
false,7,1800,2230
false,7,1200,1600
false,6,1800,2230
false,6,1200,1600
false,5,1800,2200
false,5,1200,1600
false,4,1800,2130
false,4,1200,1600
false,3,1800,2130
false,3,1200,1600
false,2,1800,2130
false,2,1200,1600
